Table Name,Field Name,Field Description
_MDD_SR_MONITOR_LOG,Log ID,Identity key for each log event.
_MDD_SR_MONITOR_LOG,Log Date,Timestamp when the log event was written.
_MDD_SR_MONITOR_LOG,Log System,System label that emitted the log event.
_MDD_SR_MONITOR_LOG,Log Category,Top-level category for the log event.
_MDD_SR_MONITOR_LOG,Log Subcategory,Secondary category for the log event.
_MDD_SR_MONITOR_LOG,Log Line,Message text written to the log.
_MDD_SR_MONITOR_LOG,Log Value Float,Optional numeric float value associated with the log event.
_MDD_SR_MONITOR_LOG,Log Value Int,Optional numeric integer value associated with the log event.
_MDD_JCT_TABLE_STATS,Schema Name,Schema name of the profiled table.
_MDD_JCT_TABLE_STATS,Table Name,Name of the profiled table.
_MDD_JCT_TABLE_STATS,Field Count,Count of columns on the table.
_MDD_JCT_TABLE_STATS,Row Count,Approximate table row count from partitions metadata.
_MDD_JCT_TABLE_STATS,Datapoint Count,Calculated count of fields multiplied by rows.
_MDD_JCT_NUMBERS,Number,Sequential integer value starting at zero.
_MDD_JCT_NUMBERS,Suffix,Ordinal suffix text for the numeric value.
_MDD_JCT_DATES_FY_DAYS,Month Number,Calendar month number.
_MDD_JCT_DATES_FY_DAYS,Day Number,Calendar day-of-month number.
_MDD_JCT_DATES_FY_DAYS,Fiscal Year,Fiscal year offset used to derive fiscal year labels.
_MDD_JCT_DATES_FY_DAYS,Fiscal Month,Fiscal month number mapped from calendar month/day.
_MDD_JCT_DATES_FY_DAYS,Fiscal Quarter,Fiscal quarter number mapped from fiscal month.
_MDD_JCT_DATES,Date ID Fuzzy A0,Sequential row number over date order.
_MDD_JCT_DATES,Date ID,Integer day offset from 1900-01-01.
_MDD_JCT_DATES,Fiscal Year (YYYY),Fiscal year label represented as YYYY integer.
_MDD_JCT_DATES,Fiscal Month,Fiscal month number for the date.
_MDD_JCT_DATES,Fiscal Quarter,Fiscal quarter number for the date.
_MDD_JCT_DATES,Date,Calendar date value.
_MDD_JCT_DATES_MONTHS,Date,First day of the month represented by the row.
_MDD_JCT_DATES_MONTHS,Date Year (YYYY),Calendar year of the month row.
_MDD_JCT_DATES_MONTHS,Date Month (M),Calendar month number of the row.
_MDD_JCT_DATES_MONTHS,Date Month Name,Calendar month name of the row.
_MDD_JCT_MINUTES,date_time,Minute timestamp value.
_MDD_JCT_DATES_MINUTES,Date and Time,Minute timestamp aligned to calendar date attributes.
_MDD_JCT_DATES_MINUTES,Time,Time portion of the minute timestamp.
_MDD_JCT_DATES_MINUTES,Time 24 Hour,24-hour clock hour value.
_MDD_JCT_DATES_MINUTES,Time Minute,Minute component value.
_MDD_JCT_DATES_MINUTES,Time Is Business Hours,Business-hours flag based on agency-specific start/end hour settings.
_MDD_JCT_DATES_MINUTES,Time Is Business Hours (Weekends),Business-hours classification that forces weekends to outside-business-hours.
_MDD_JCT_DATES_DAY_MINUTES,Minute ID,Minute index from 0 to 1439.
_MDD_JCT_DATES_DAY_MINUTES,Hour,Hour number derived from minute index.
_MDD_JCT_DATES_DAY_MINUTES,Hour Start,Start time for the hour bucket.
_MDD_JCT_DATES_DAY_MINUTES,Hour End,End time for the hour bucket.
_MDD_JCT_DATES_DAY_MINUTES,Time,24-hour formatted time string.
_MDD_JCT_DATES_DAY_MINUTES,Time 12 AMPM,12-hour formatted time string.
_MDD_JCT_REPORT_DESIGN_MDD,hex_visual_color_pop_1,Primary bold visualization color 1 in hex format.
_MDD_JCT_REPORT_DESIGN_MDD,hex_visual_color_pop_2,Primary bold visualization color 2 in hex format.
_MDD_JCT_REPORT_DESIGN_MDD,hex_visual_color_muted_1,Muted visualization color 1 in hex format.
_MDD_JCT_REPORT_DESIGN_MDD,hex_visual_color_muted_2,Muted visualization color 2 in hex format.
_MDD_JCT_REPORT_DESIGN_MDD,hex_dashboard_background,Dashboard background color in hex format.
_MDD_JCT_REPORT_DESIGN_MDD,logo_mdd,URL to the Mission Driven Data logo asset.
_MDD_JCT_CREDIBLE_ACCOUNTS,Account Number,
_MDD_JCT_CREDIBLE_ACCOUNTS,A1,
_MDD_JCT_CREDIBLE_ACCOUNTS,A2,
_MDD_JCT_CREDIBLE_ACCOUNTS,A3,
_MDD_JCT_CREDIBLE_ADDRESSES,Object Category ID,Unique ID of the Object Category.
_MDD_JCT_CREDIBLE_ADDRESSES,Object ID,Unique ID of the Object.
_MDD_JCT_CREDIBLE_ADDRESSES,Address Type ID,Unique ID of the Address Type.
_MDD_JCT_CREDIBLE_ADDRESSES,Address ID Fuzzy A0,
_MDD_JCT_CREDIBLE_ADDRESSES,Address ID,Unique ID of the Address.
_MDD_JCT_CREDIBLE_ADDRESSES,Object Category,
_MDD_JCT_CREDIBLE_ADDRESSES,Address Type,
_MDD_JCT_CREDIBLE_ADDRESSES,Address 1,
_MDD_JCT_CREDIBLE_ADDRESSES,Address 2,
_MDD_JCT_CREDIBLE_ADDRESSES,Address City,
