Data Model Name,Table Name,Table Description
_MDD_JCT,_MDD_SR_MONITOR_LOG,Process-log records written by framework SQL execution.
_MDD_JCT,_MDD_JCT_TABLE_STATS,Per-table row/field/datapoint counts for current database inventory.
_MDD_JCT,_MDD_JCT_NUMBERS,Reusable sequence table with integer values and ordinal suffixes.
_MDD_JCT,_MDD_JCT_DATES_FY_DAYS,Month/day to fiscal year-month-quarter mapping reference.
_MDD_JCT,_MDD_JCT_DATES,"Canonical date dimension with fiscal, calendar, and formatted date attributes."
_MDD_JCT,_MDD_JCT_DATES_MONTHS,Month-level subset of the canonical date table.
_MDD_JCT,_MDD_JCT_MINUTES,Minute-grain timeline table generated by _MDD_JCT_MINUTES_SP.
_MDD_JCT,_MDD_JCT_DATES_MINUTES,Joined date and time dimension table at minute grain.
_MDD_JCT,_MDD_JCT_DATES_DAY_MINUTES,Static 0-1439 minute-of-day lookup table.
_MDD_JCT,_MDD_JCT_REPORT_DESIGN_MDD,Global visual design settings for reporting assets.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_ACCOUNTS,One row per Account record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_ADDRESSES,One row per Address record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_ADDRESSES_CLIENT_BILLING,One row per Address record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_ADDRESSES_CLIENT_PRIMARY,One row per Address record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_AGENCY,One row per Agency record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_AGE_GROUPS,One row per Group record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_AGE_GROUPS_CUSTOM,One row per Age Group record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_ANONYMOUS_CX,"Operational crosswalk table mapping source integer identifiers (client, appointment, and employee ID domains) to randomized anonymous identifiers for downstream masking."
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_APPOINTMENTS,"One row per Appointment record in the Credible module. This is an appropriate source for measuring program census from a service-delivery, claims, billing, or billable-services perspective because each row represents a scheduled or documented service encounter."
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_APPOINTMENTS_COMPLETED,One row per Appointment record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_APPOINTMENTS_FAMILIES,One row per Appointment record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_APPOINTMENTS_INCOMPLETE,One row per Appointment record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_APPOINTMENTS_PLANNER,One row per Appointment record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_APPOINTMENTS_PROCEDURE_CODES_MODIFIERS_UNIQUE,One row per CPT Modifier record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_APPOINTMENTS_PROCEDURE_CODES_UNIQUE,One row per Procuedure Code record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_APPOINTMENTS_PROCEDURE_MODIFIERS,One row per Procedure Modifier record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_APPOINTMENTS_PROCEDURE_MODIFIERS_UNIQUE,One row per Procedure Modifier record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_APPOINTMENTS_UNENRICHED,One row per Appointments Unenriched record in the Credible module (inferred from SQL table inventory).
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_APPOINTMENTS_USERS,One row per Appointment record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_APPOINTMENT_DX,One row per Appointment Dx record in the Credible module (inferred from SQL table inventory).
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_APPOINTMENT_SIGNATURES,One row per Signature record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_APPOINTMENT_SIGNATURES_BOX_1,One row per Signature record in the Credible module.
